#{"t_start": 1764683795.068128, "env_id": "None"}
r,l,t
194.483354,450,9687.343944
-10.999719,450,9724.272342
191.315455,450,9765.769271
66.015563,68,9774.21499
129.620563,181,9789.475106
198.818467,450,9823.200449
73.285563,70,9831.861398
67.165563,66,9842.245121
106.005563,136,9858.028341
89.275563,114,9873.533546
203.180455,450,9907.198155
201.245563,376,9938.286572
126.015563,184,9955.918056
106.005563,186,9972.026706
193.083354,450,10007.934392
237.790563,437,10039.953239
84.430563,201,10060.400933
111.543354,450,10100.055006
196.633354,450,10137.106463
192.695455,450,10175.539463
223.615563,410,10209.539578
188.893354,450,10244.378404
59.590563,53,10254.520815
132.025563,204,10276.289433
104.840563,185,10293.951342
130.515455,450,10331.668384
63.740563,75,10341.531339
146.575455,450,10378.814147
99.840563,173,10394.709605
58.965563,62,10404.994945
55.040563,67,10414.623335
-97.946158,450,10455.732291
56.075563,78,10465.613091
58.955563,62,10476.201142
-92.711777,450,10518.039405
-95.793366,450,10551.251009
146.915563,328,10578.091952
61.283842,450,10614.967973
142.745563,256,10637.041408
69.980563,69,10647.254439
54.260563,83,10658.261473
190.313354,450,10690.351612
176.303354,450,10724.653739
97.770281,450,10760.113391
55.365563,78,10769.440387
185.700455,450,10809.796688
195.490455,450,10844.687065
208.483354,450,10884.094772
176.710455,450,10920.454557
185.750455,450,10961.135644
204.983354,450,10998.559209
190.283354,450,11034.148379
157.483354,450,11075.39622
62.555563,46,11084.53799
64.650563,71,11094.259492
74.260563,103,11105.861855
89.305563,114,11123.436706
120.880563,157,11142.011102
185.670455,450,11182.076583
142.370563,239,11203.610165
79.805563,178,11219.314139
206.670455,450,11252.125385
74.900281,450,11288.693702
101.690563,121,11301.815087
182.190455,450,11338.897996
206.670455,450,11374.026405
-15.072123,450,11407.499802
78.030563,83,11420.199966
139.385563,324,11446.508295
58.490563,61,11455.769171
-65.361158,450,11493.884433
-69.556158,450,11531.514816
103.035563,168,11547.254421
86.055563,94,11558.079932
164.720455,450,11590.688342
193.083354,450,11619.34418
45.920563,117,11632.946749
107.905563,218,11653.140928
131.025563,218,11673.082962
195.470455,450,11703.636166
201.090455,450,11739.029
43.905563,132,11751.64823
62.380563,53,11762.142004
100.155563,134,11774.971725
85.095563,86,11784.00907
108.615563,140,11796.926665
204.283354,450,11830.122996
121.835563,262,11850.341494
170.360563,373,11877.540362
105.472641,450,11912.673615
80.360563,185,11928.748441
-54.474719,450,11961.761369
193.083354,450,11997.121857
63.755563,50,12007.576435
107.280563,121,12021.182063
151.045563,216,12042.142149
176.625455,450,12082.745111
76.770563,123,12098.148362
196.870455,450,12137.110082
79.335563,68,12149.282228
162.760563,307,12176.980374
79.465563,86,12189.579899
89.310563,111,12203.740215
56.705563,72,12213.803327
174.710563,329,12246.610171
107.770563,147,12263.505968
-60.041158,450,12300.986505
181.213354,450,12341.486601
70.505563,48,12350.327129
177.890563,305,12379.919805
70.805563,56,12389.504828
85.080563,117,12404.630803
147.935563,280,12431.951046
207.370455,450,12467.050954
204.293354,450,12506.998108
60.055563,54,12519.049562
175.235455,450,12559.684738
206.670455,450,12601.729558
-4.439719,450,12643.174732
198.270455,450,12686.535595
70.030563,47,12697.651093
203.870455,450,12732.70492
54.205563,80,12744.212972
190.000563,361,12775.415055
156.175563,368,12807.751953
190.283354,450,12846.13488
194.770455,450,12884.285642
68.630563,47,12894.712573
61.380563,45,12903.970484
66.840563,83,12915.506444
-49.015748,450,12952.597379
86.420563,133,12968.896745
-61.986605,450,13008.079439
51.040563,91,13023.010345
86.920563,81,13035.776596
208.070455,450,13070.169269
61.205563,52,13078.290401
204.983354,450,13120.256484
